year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1976.0000      92.0000       0.7258       0.0000      43.0000      33.0000       0.4500      12.3100      41.8200      -5.6900     128.5140     -20.9900      10.2000       0.9300     315.6457      31.8395      14.9610    1639.0000      30.2600     317.6000  138212.0000       5.7600      -2.7000      20.9900     -10.2000       0.9300       0.3300       0.6400       0.7500       0.0000       0.0000       0.0000      28.5600     302.8000
   1976.0000      92.0000       0.7372       0.0000      44.0000      14.0000       0.4500      12.3100      41.8200      -5.6900     128.5207     -21.1900       9.8500       0.3800     314.2312      29.3716      15.8772    1639.0000      27.8800     316.0000  136461.0000       5.3400      -2.8800      21.1900      -9.8500       0.3800       0.2900       0.7500       0.6000       0.0000       0.0000       0.0000      26.7300     300.6000
   1976.0000      92.0000       0.7483       0.0000      44.0000      54.0000       0.4500      12.3100      41.8100      -5.6900     128.5173     -20.5900      10.9400       0.9100     316.2007      30.6138       8.7626    1639.0000      29.4600     317.8000  163108.0000       5.5300      -1.5800      20.5900     -10.9400       0.9100       0.3400       0.8500       1.1600       0.0000       0.0000       0.0000      26.7600     301.1000
   1976.0000      92.0000       0.7597       0.0000      45.0000      35.0000       0.4500      12.3100      41.8100      -5.6900     128.5240     -20.4300      10.9200       0.3300     313.6923      38.7389      11.9214    1639.0000      27.1000     316.3000  108222.0000       7.0400      -2.1600      20.4300     -10.9200       0.3300       0.6300       1.4800       2.0400       0.0000       0.0000       0.0000      27.9700     304.8000
   1976.0000      92.0000       0.7708       0.0000      46.0000      15.0000       0.4500      12.3100      41.8000      -5.6900     128.5206     -20.2400      11.2700      -2.5000     305.1142      36.2207       9.3875    1639.0000      28.3900     307.4000   40849.0000       6.7700      -1.7500      20.2400     -11.2700      -2.5000       0.5500       0.9500       0.7000       0.0000       0.0000       0.0000      27.2100     302.4000
   1976.0000      92.0000       0.7822       0.0000      46.0000      56.0000       0.4500      12.3100      41.8000      -5.6900     128.5273     -20.3300      10.8600      -0.0300     318.7400      33.5572       7.9448    1639.0000      32.6300     320.6000  167903.0000       6.0100      -1.4200      20.3300     -10.8600      -0.0300       0.4300       1.2600       2.0000       0.0000       0.0000       0.0000      27.6500     300.2000
   1976.0000      92.0000       0.7933       0.0000      47.0000      36.0000       0.4500      12.3100      41.7900      -5.6900     128.5239     -20.5800      10.5600      -0.6700     318.4683      36.7917      25.5122    1639.0000      31.7400     321.6000  156452.0000       6.5900      -4.5500      20.5800     -10.5600      -0.6700       0.5600       1.2200       1.4300       0.0000       0.0000       0.0000      25.9400     305.6000
   1976.0000      92.0000       0.8047       0.0000      48.0000      17.0000       0.4500      12.3100      41.7900      -5.6900     128.5306     -20.8100       9.1800       0.3500     314.9541      31.3256      13.5977    1639.0000      26.6300     316.8000  145385.0000       5.6800      -2.4600      20.8100      -9.1800       0.3500       0.7200       1.8300       1.2800       0.0000       0.0000       0.0000      26.6700     299.8000
   1976.0000      92.0000       0.8158       0.0000      48.0000      57.0000       0.4500      12.3100      41.7800      -5.6900     128.5272     -20.7000       9.8500       0.2300     313.9054      32.7159      11.0763    1639.0000      26.9200     315.8000  112374.0000       5.9500      -2.0100      20.7000      -9.8500       0.2300       0.6300       1.5400       1.4400       0.0000       0.0000       0.0000      26.7200     302.3000
   1976.0000      92.0000       0.8272       0.0000      49.0000      38.0000       0.4500      12.3200      41.7800      -5.6900     128.5339     -20.0100      11.7100      -2.1200     315.5486      39.0241       5.4944    1639.0000      28.7100     318.0000  122054.0000       7.0500      -0.9900      20.0100     -11.7100      -2.1200       0.4300       1.3300       0.8900       0.0000       0.0000       0.0000      26.5100     305.8000
